Scheme Name,Folio No,ISIN,Transaction Date,Transaction Type,Amount (Rs.),Units,Price (Rs.)
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2020,SIP,1000,7.5375,132.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2020,SIP,3000,115.3846,26.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2020,SIP,2000,41.6667,48.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2020,SIP,2000,58.8235,34.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2020,SIP,2000,52.6316,38.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2020,SIP,1000,7.1429,140.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2020,SIP,3000,109.0909,27.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2020,SIP,2000,39.7377,50.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2020,SIP,2000,55.0509,36.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2020,SIP,2000,50.0,40.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2020,SIP,1000,6.9123,144.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2020,SIP,3000,103.4483,29.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2020,SIP,2000,37.9723,52.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2020,SIP,2000,51.7197,38.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2020,SIP,2000,47.619,42.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2020,SIP,1000,6.6966,149.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2020,SIP,3000,98.3607,30.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2020,SIP,2000,36.3636,55.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2020,SIP,2000,48.7805,41.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2020,SIP,2000,45.4545,44.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2020,SIP,1000,6.4935,154.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2020,SIP,3000,93.75,32.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2020,SIP,2000,34.8857,57.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2020,SIP,2000,46.1574,43.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2020,SIP,2000,43.4783,46.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2020,SIP,1000,6.3024,158.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2020,SIP,3000,89.5522,33.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2020,SIP,2000,33.5177,59.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2020,SIP,2000,43.7924,45.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2020,SIP,2000,41.6667,48.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2020,SIP,1000,6.1226,163.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2020,SIP,3000,85.7143,35.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2020,SIP,2000,32.2581,62.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2020,SIP,2000,41.6667,48.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2020,SIP,2000,40.0,50.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2020,SIP,1000,5.9524,168.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2021,SIP,3000,82.9417,36.17
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2021,SIP,2000,31.412,63.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2021,SIP,2000,40.0,50.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2021,SIP,2000,38.9636,51.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2021,SIP,1000,5.8538,170.83
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2021,SIP,3000,80.3643,37.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2021,SIP,2000,30.6138,65.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2021,SIP,2000,38.4615,52.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2021,SIP,2000,37.9723,52.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2021,SIP,1000,5.758,173.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2021,SIP,3000,77.9221,38.5
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2021,SIP,2000,29.8507,67.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2021,SIP,2000,37.037,54.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2021,SIP,2000,37.037,54.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2021,SIP,1000,5.6657,176.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2021,SIP,3000,75.6239,39.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2021,SIP,2000,29.1248,68.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2021,SIP,2000,35.7143,56.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2021,SIP,2000,36.1468,55.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2021,SIP,1000,5.5763,179.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2021,SIP,3000,73.4754,40.83
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2021,SIP,2000,28.4374,70.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2021,SIP,2000,34.4828,58.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2021,SIP,2000,35.292,56.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2021,SIP,1000,5.4894,182.17
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2021,SIP,3000,71.4286,42.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2021,SIP,2000,27.7778,72.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2021,SIP,2000,33.3333,60.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2021,SIP,2000,34.4828,58.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2021,SIP,1000,5.4054,185.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,22-06-2021,Redemption,14400.0,200.0,72.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2021,SIP,3000,69.7674,43.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2021,SIP,2000,27.1481,73.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2021,SIP,2000,32.4307,61.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2021,SIP,2000,33.8009,59.17
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2021,SIP,1000,5.3333,187.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2021,SIP,3000,68.1818,44.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2021,SIP,2000,26.5498,75.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2021,SIP,2000,31.5806,63.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2021,SIP,2000,33.151,60.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2021,SIP,1000,5.2632,190.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2021,SIP,3000,66.6667,45.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2021,SIP,2000,25.974,77.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2021,SIP,2000,30.7692,65.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2021,SIP,2000,32.5203,61.5
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2021,SIP,1000,5.1948,192.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2021,SIP,3000,65.2174,46.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2021,SIP,2000,25.4227,78.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2021,SIP,2000,29.9985,66.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2021,SIP,2000,31.9132,62.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2021,SIP,1000,5.1282,195.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2021,SIP,3000,63.8298,47.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2021,SIP,2000,24.8973,80.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2021,SIP,2000,29.2697,68.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2021,SIP,2000,31.3332,63.83
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2021,SIP,1000,5.0633,197.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2021,SIP,3000,62.5,48.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2021,SIP,2000,24.3902,82.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2021,SIP,2000,28.5714,70.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2021,SIP,2000,30.7692,65.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2021,SIP,1000,5.0,200.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2022,SIP,3000,63.3847,47.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2022,SIP,2000,24.8973,80.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2022,SIP,2000,29.5552,67.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2022,SIP,2000,31.3332,63.83
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2022,SIP,1000,5.0847,196.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2022,SIP,3000,64.2811,46.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2022,SIP,2000,25.4227,78.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2022,SIP,2000,30.6138,65.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2022,SIP,2000,31.9132,62.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2022,SIP,1000,5.1725,193.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2022,SIP,3000,65.2174,46.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2022,SIP,2000,25.974,77.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2022,SIP,2000,31.746,63.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2022,SIP,2000,32.5203,61.5
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2022,SIP,1000,5.2632,190.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2022,SIP,3000,66.1813,45.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2022,SIP,2000,26.5498,75.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2022,SIP,2000,32.9652,60.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2022,SIP,2000,33.151,60.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2022,SIP,1000,5.357,186.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2022,SIP,3000,67.1592,44.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2022,SIP,2000,27.1481,73.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2022,SIP,2000,34.2877,58.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2022,SIP,2000,33.8009,59.17
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2022,SIP,1000,5.4546,183.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2022,SIP,3000,68.1818,44.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2022,SIP,2000,27.7778,72.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2022,SIP,2000,35.7143,56.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2022,SIP,2000,34.4828,58.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2022,SIP,1000,5.5556,180.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2022,SIP,3000,67.6743,44.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2022,SIP,2000,27.5862,72.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2022,SIP,2000,35.5051,56.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2022,SIP,2000,34.089,58.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2022,SIP,1000,5.5148,181.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2022,SIP,3000,67.1592,44.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2022,SIP,2000,27.3973,73.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2022,SIP,2000,35.292,56.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2022,SIP,2000,33.7098,59.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2022,SIP,1000,5.4744,182.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2022,SIP,3000,66.6667,45.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-09-2022,SIP,2000,27.2109,73.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-09-2022,SIP,2000,35.0877,57.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-09-2022,SIP,2000,33.3333,60.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-09-2022,SIP,1000,5.4348,184.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-10-2022,SIP,3000,66.1813,45.33
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-10-2022,SIP,2000,27.027,74.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-10-2022,SIP,2000,34.8857,57.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-10-2022,SIP,2000,32.9652,60.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-10-2022,SIP,1000,5.3958,185.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-11-2022,SIP,3000,65.6886,45.67
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-11-2022,SIP,2000,26.8456,74.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-11-2022,SIP,2000,34.6801,57.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-11-2022,SIP,2000,32.6105,61.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-11-2022,SIP,1000,5.357,186.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-12-2022,SIP,3000,65.2174,46.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-12-2022,SIP,2000,26.6667,75.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-12-2022,SIP,2000,34.4828,58.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-12-2022,SIP,2000,32.2581,62.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-12-2022,SIP,1000,5.3191,188.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,18-12-2022,Redemption,13800.0,300.0,46.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-01-2023,SIP,3000,63.8298,47.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-01-2023,SIP,2000,26.0858,76.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-01-2023,SIP,2000,33.5177,59.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-01-2023,SIP,2000,31.746,63.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-01-2023,SIP,1000,5.2403,190.83
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-02-2023,SIP,3000,62.5,48.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-02-2023,SIP,2000,25.533,78.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-02-2023,SIP,2000,32.6105,61.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-02-2023,SIP,2000,31.25,64.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-02-2023,SIP,1000,5.1634,193.67
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-03-2023,SIP,3000,61.2245,49.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-03-2023,SIP,2000,25.0,80.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-03-2023,SIP,2000,31.746,63.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-03-2023,SIP,2000,30.7692,65.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-03-2023,SIP,1000,5.0891,196.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-04-2023,SIP,3000,60.0,50.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-04-2023,SIP,2000,24.4888,81.67
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-04-2023,SIP,2000,30.9262,64.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-04-2023,SIP,2000,30.303,66.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-04-2023,SIP,1000,5.0168,199.33
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-05-2023,SIP,3000,58.8235,51.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-05-2023,SIP,2000,24.001,83.33
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-05-2023,SIP,2000,30.1523,66.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-05-2023,SIP,2000,29.8507,67.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-05-2023,SIP,1000,4.9463,202.17
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-06-2023,SIP,3000,57.6923,52.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-06-2023,SIP,2000,23.5294,85.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-06-2023,SIP,2000,29.4118,68.0
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-06-2023,SIP,2000,29.4118,68.0
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-06-2023,SIP,1000,4.878,205.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-07-2023,SIP,3000,56.6038,53.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-07-2023,SIP,2000,23.1214,86.5
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-07-2023,SIP,2000,28.8475,69.33
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-07-2023,SIP,2000,28.8475,69.33
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-07-2023,SIP,1000,4.8193,207.5
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-08-2023,SIP,3000,55.5556,54.0
Mirae Asset Large Cap Fund - Direct Growth,MIRAE9876543,INF769K01010,05-08-2023,SIP,2000,22.7273,88.0
Axis Small Cap Fund - Direct Growth,AXIS5432167,INF846K01EW2,10-08-2023,SIP,2000,28.3006,70.67
ICICI Prudential Bluechip Fund - Direct Growth,ICICI2345678,INF109K01VQ1,10-08-2023,SIP,2000,28.3006,70.67
SBI Equity Hybrid Fund - Direct Growth,SBI8765432,INF200K01VC5,15-08-2023,SIP,1000,4.7619,210.0
Parag Parikh Flexi Cap Fund - Direct Growth,PPFCF1234567,INF879O01019,05-09-2023,SIP,3000,54.5455,55.0
